Month,Price,Change
Aug-13,651.45,-
Sep-13,738.16,13.31%
Oct-13,738.79,0.08%
Nov-13,745.97,0.97%
Dec-13,742.23,-0.50%
Jan-14,712.84,-3.96%
Feb-14,695.85,-2.38%
Mar-14,656.96,-5.59%
Apr-14,656.69,-0.04%
May-14,650.9,-0.88%
Jun-14,640.82,-1.55%
Jul-14,647.58,1.05%
Aug-14,651.43,0.59%
Sep-14,643.23,-1.26%
Oct-14,640.48,-0.43%
Nov-14,642.66,0.34%
Dec-14,635.84,-1.06%
Jan-15,600.87,-5.50%
Feb-15,587.35,-2.25%
Mar-15,580.44,-1.18%
Apr-15,623.6,7.44%
May-15,711.22,14.05%
Jun-15,733.2,3.09%
Jul-15,650.57,-11.27%
Aug-15,665.48,2.29%
Sep-15,640.13,-3.81%
Oct-15,622.16,-2.81%
Nov-15,662.12,6.42%
Dec-15,683.18,3.18%
Jan-16,681.92,-0.18%
Feb-16,694.32,1.82%
Mar-16,694.61,0.04%
Apr-16,723.14,4.11%
May-16,733.55,1.44%
Jun-16,736.2,0.36%
Jul-16,765.02,3.91%
Aug-16,764.75,-0.03%
Sep-16,765.8,0.14%
Oct-16,792.35,3.47%
Nov-16,803.09,1.35%
Dec-16,819,1.98%
Jan-17,889.23,8.57%
Feb-17,916.25,3.04%
Mar-17,958.96,4.66%
Apr-17,903.79,-5.75%
May-17,923.42,2.17%
Jun-17,904.57,-2.04%
Jul-17,906.26,0.19%
Aug-17,940.68,3.80%
Sep-17,921.61,-2.03%
Oct-17,952.63,3.37%
Nov-17,984.7,3.37%
Dec-17,1001.55,1.71%
Jan-18,1078.16,7.65%
Feb-18,1083.97,0.54%
Mar-18,1045.49,-3.55%
Apr-18,1050.05,0.44%
May-18,1113.72,6.06%
Jun-18,1179.37,5.89%
Jul-18,1160.42,-1.61%
Aug-18,1210,4.27%
Sep-18,1263.17,4.39%
Oct-18,1216.42,-3.70%
Nov-18,1124.02,-7.60%
Dec-18,1135.31,1.00%
Jan-19,1164.33,2.56%
Feb-19,1203.23,3.34%
Mar-19,1153.67,-4.12%
Apr-19,1136.3,-1.51%
May-19,1088.45,-4.21%
Jun-19,1021.7,-6.13%
Jul-19,975.9,-4.48%
Aug-19,871.73,-10.67%
Sep-19,840.05,-3.63%
Oct-19,864.82,2.95%
Nov-19,872.01,0.83%
Dec-19,859.8,-1.40%
Jan-20,895.29,4.13%
Feb-20,874.69,-2.30%
Mar-20,792.29,-9.42%
Apr-20,714.14,-9.86%
May-20,680.55,-4.70%
Jun-20,693.56,1.91%
Jul-20,672.14,-3.09%
Aug-20,598.32,-10.98%
Sep-20,533.62,-10.81%
Oct-20,685.9,28.54%
Nov-20,750.47,9.41%
Dec-20,771.62,2.82%
Jan-21,806.93,4.58%
Feb-21,891.62,10.50%
Mar-21,889.38,-0.25%
Apr-21,911.08,2.44%
May-21,922.42,1.24%
Jun-21,984.37,6.72%
Jul-21,975.53,-0.90%
Aug-21,903.93,-7.34%
Sep-21,893.14,-1.19%
Oct-21,919.07,2.90%
Nov-21,890.94,-3.06%
Dec-21,903.62,1.42%
Jan-22,911.32,0.85%
Feb-22,926.63,1.68%
Mar-22,946.77,2.17%
Apr-22,946.25,-0.06%
May-22,946.46,0.02%
Jun-22,978.41,3.38%
Jul-22,920.96,-5.87%
Aug-22,894.83,-2.84%
Sep-22,856.58,-4.27%
Oct-22,827.3,-3.42%
Nov-22,834.94,0.92%
Dec-22,873.95,4.67%
Jan-23,945.41,8.18%
Feb-23,984.99,4.19%
Mar-23,926.4,-5.95%
